datetime,temperature,humidity,pressure,wind_speed,wind_direction,rides,date,hour,month,day,year,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos
2015-10-25 23:00:00,14.79000000000002,51.0,1020.0,9.0,350.0,28,2015-10-25,23,10,25,2015,-2.4492935982947064e-16,1.0,0.4171936026123168,0.9088176373395029,-0.8660254037844386,0.5000000000000001
2015-10-26 00:00:00,13.080000000000041,50.0,1022.0,9.0,330.0,32,2015-10-26,0,10,26,2015,0.0,1.0,0.4327755925504312,0.901501684131884,-0.8660254037844386,0.5000000000000001
2015-10-26 01:00:00,13.0,58.0,1023.0,2.0,30.0,35,2015-10-26,1,10,26,2015,0.2697967711570243,0.9629172873477994,0.4327755925504312,0.901501684131884,-0.8660254037844386,0.5000000000000001
2015-10-26 02:00:00,11.920000000000016,57.0,1024.0,4.0,10.0,35,2015-10-26,2,10,26,2015,0.5195839500354336,0.8544194045464886,0.4327755925504312,0.901501684131884,-0.8660254037844386,0.5000000000000001
2015-10-26 03:00:00,10.920000000000016,78.0,1025.0,3.0,10.0,39,2015-10-26,3,10,26,2015,0.730835964278124,0.6825531432186541,0.4327755925504312,0.901501684131884,-0.8660254037844386,0.5000000000000001
2015-10-26 04:00:00,10.25,78.0,1025.0,2.0,360.0,39,2015-10-26,4,10,26,2015,0.8878852184023752,0.4600650377311522,0.4327755925504312,0.901501684131884,-0.8660254037844386,0.5000000000000001
2015-10-26 05:00:00,9.140000000000043,85.0,1025.0,4.0,353.0,40,2015-10-26,5,10,26,2015,0.9790840876823229,0.20345601305263375,0.4327755925504312,0.901501684131884,-0.8660254037844386,0.5000000000000001
2015-10-26 06:00:00,6.610000000000014,61.0,1026.0,2.0,40.0,38,2015-10-26,6,10,26,2015,0.9976687691905392,-0.06824241336467088,0.4327755925504312,0.901501684131884,-0.8660254037844386,0.5000000000000001
2015-10-26 07:00:00,6.32000000000005,86.0,1028.0,4.0,353.0,41,2015-10-26,7,10,26,2015,0.9422609221188205,-0.33487961217098616,0.4327755925504312,0.901501684131884,-0.8660254037844386,0.5000000000000001
2015-10-26 08:00:00,5.78000000000003,86.0,1028.0,4.0,2.0,42,2015-10-26,8,10,26,2015,0.8169698930104421,-0.5766803221148671,0.4327755925504312,0.901501684131884,-0.8660254037844386,0.5000000000000001
2015-10-26 09:00:00,5.080000000000041,86.0,1028.0,4.0,2.0,42,2015-10-26,9,10,26,2015,0.631087944326053,-0.7757112907044197,0.4327755925504312,0.901501684131884,-0.8660254037844386,0.5000000000000001
2015-10-26 10:00:00,4.610000000000014,86.0,1028.0,4.0,2.0,42,2015-10-26,10,10,26,2015,0.3984010898462414,-0.917211301505453,0.4327755925504312,0.901501684131884,-0.8660254037844386,0.5000000000000001
2015-10-26 11:00:00,4.220000000000027,75.0,1029.0,2.0,320.0,41,2015-10-26,11,10,26,2015,0.1361666490962471,-0.9906859460363306,0.4327755925504312,0.901501684131884,-0.8660254037844386,0.5000000000000001
2015-10-26 12:00:00,4.220000000000027,93.0,1030.0,3.0,15.0,43,2015-10-26,12,10,26,2015,-0.1361666490962464,-0.9906859460363308,0.4327755925504312,0.901501684131884,-0.8660254037844386,0.5000000000000001
2015-10-26 13:00:00,6.07000000000005,70.0,1031.0,3.0,350.0,38,2015-10-26,13,10,26,2015,-0.39840108984624156,-0.9172113015054529,0.4327755925504312,0.901501684131884,-0.8660254037844386,0.5000000000000001
